state,x,y
Abuja, -81.0, -1.0
Abia, -47.0, -150.0
Adamawa, 164.0, 22.0
Akwa Ibom,-39.0, -184.0
Anambra, -54.0, -121.0
Bauchi, 30.0, 72.0
Bayelsa, -133.0, -183.0
Benue,-3.0, -65.0
Borno, 198.0, 174.0
Cross River,-20.0, -147.0
Delta, -136.0, -152.0
Ebonyi,-31.0, -116.0
Edo,-140.0, -111.0
Ekiti, -154.0, -54.0
Enugu, -56.0, -95.0
Gombe,106.0, 78.0
Imo, -75.0, -151.0
Jigawa, 27.0, 160.0
Kaduna,-57.0, 72.0
Kano,-13.0, 130.0
Katsina, -57.0, 165.0
Kebbi, -213.0, 133.0
Kogi, -120.0, -36.0
Kwara, -185.0, -4.0
Lagos, -236.0, -111.0
Nasarawa,-30.0, -19.0
Niger, -140.0, 44.0
Ogun,-253.0, -82.0
Ondo, -171.0, -89.0
Osun, -192.0, -61.0
Oyo, -229.0, -27.0
Plateau, 32.0, 11.0
Rivers, -90.0, -180.0
Sokoto,-166.0, 207.0
Taraba, 101.0, -49.0
Yobe, 134.0, 162.0
Zamfara, -131.0, 142.0
